127.0.0.1 - - [15/May/2020:21:50:16 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/May/2020:21:51:02 +0530] "GET /TutorCabin/index.jsp HTTP/1.1" 200 8999
0:0:0:0:0:0:0:1 - - [15/May/2020:21:51:28 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/May/2020:21:52:46 +0530] "GET /TutorCabin/admindash.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2020:21:52:49 +0530] "GET /TutorCabin/admindash.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2020:21:52:49 +0530] "GET /TutorCabin/MainAdmin.html HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [15/May/2020:21:52:51 +0530] "GET /TutorCabin/images/adbg.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [15/May/2020:21:54:22 +0530] "GET /TutorCabin/adminLogin.html?username=admin&password=admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2020:21:54:27 +0530] "GET /TutorCabin/admindash.html HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [15/May/2020:21:54:34 +0530] "GET /TutorCabin/viewreg.html HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [15/May/2020:21:54:42 +0530] "GET /TutorCabin/viewtutors.html HTTP/1.1" 200 5879
0:0:0:0:0:0:0:1 - - [15/May/2020:21:54:42 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [15/May/2020:21:54:45 +0530] "GET /TutorCabin/viewreg.html HTTP/1.1" 200 3784
0:0:0:0:0:0:0:1 - - [15/May/2020:21:55:43 +0530] "GET /TutorCabin/viewreg.html HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [15/May/2020:21:55:51 +0530] "GET /TutorCabin/viewreg.html HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [15/May/2020:21:57:05 +0530] "GET /TutorCabin/viewtutors.html HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/May/2020:21:57:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/May/2020:21:57:21 +0530] "GET /TutorCabin/adminLogin.html?username=admin&password=admin HTTP/1.1" 302 -
